Value,Canonical
7 hills,
7 hills hospital,
"aarogya niddhi hospital, juhu","aarogya niddhi hospital, juhu"
achchgaonkar,achgaonkar
achgaonkar,achgaonkar
achgaonkar h.p,achgaonkar
achgaonkar hp,achgaonkar
ackworth,Acworth Hospital
acworth hospital,Acworth Hospital
advised home quarantine,Home Isolated
ajgaokar,achgaonkar
ajgaokar plot hp,achgaonkar
ajgaonkar,achgaonkar
ajgaonkar health post,achgaonkar
ajgaonkar plot health post,achgaonkar
allure quarantine faclity,allure quarantine faclity
andheri guest house,
andheri seven hills,
apex,
apex hospital,
apex hospital borivali,Apex Hospital Borivali
apex hospital mulund,Apex Hospital Mulund
apex super speciality ,Apex Super Speciality 
apna dhaba,
aviva guest house,aviva guest house
azad nagar,Home Isolated
azgaonkar,achgaonkar
baba hospital,
balaji hospital,
bandra (home),Home Isolated
bandra bhabha,Bandra Bhabha
bandra bhabha hospital,Bandra Bhabha
bandra slaughter house,
bdba,BDBA Kandivali
bdba hospital,BDBA Kandivali
bdba kandivali,BDBA Kandivali
"bdba, kandivali (w)",BDBA Kandivali
bhabha,
bhabha hospital,
bhabha hospital @11 pm,
bhagawati hospital,Bhagwati NTC Hospital
bhagvati hospital,Bhagwati NTC Hospital
"bhagvati hospital, borivali",Bhagwati NTC Hospital
bhagwati,Bhagwati NTC Hospital
bhagwati hopsital (ntc),Bhagwati NTC Hospital
bhagwati hosp,Bhagwati NTC Hospital
bhagwati hosp.,Bhagwati NTC Hospital
bhagwati hospital,Bhagwati NTC Hospital
"bhagwati hospital, borivali",Bhagwati NTC Hospital
"bhagwati hospital,borivali",Bhagwati NTC Hospital
bhagwati ntc hospital,Bhagwati NTC Hospital
bharatiya arogya nidhi hospital,"aarogya niddhi hospital, juhu"
bhatia hospital,Bhatia Hospital
bkc,
bkc center,
bkc covid center,
bkc hospital,
bmc ent hospital,
bombay hospital,Bombay Hospital
bpt hospital,BPT Hospital
breach candy,Breach Candy
breach candy hospital,Breach Candy
bses mg hospital,BSES MG HOSPITAL
cama hospital,CAMA Hospital
"cc 2 facility, rani sati marg, ,malad east",
cc-2 sra kandivali,
cc2 rustamgee,Rustamji School 
ccc -1,NA
ccc-1,NA
ccc1,NA
ccc2 korba mitha ghar,Korba Mithagar Municipal School 
ccc2 korba mitha ghar.,Korba Mithagar Municipal School 
ccc2 korba mithagar,Korba Mithagar Municipal School 
ccc2 ramleela maidan malad east,ccc2 ramleela maidan malad east
ccc2 rustumjee,Rustamji School 
ccc2 sai nagar mg road kadivali west,
"ccc2, kole kalyan police hq, kalina, santacruz (e)","Kole Kalyan Police qtrs, Kalina"
central railway hospital,
cooper,R.N.Cooper
cooper hospital,R.N.Cooper
cooper hospital (urban hotel),R.N.Cooper
cooper hospital and sahar health post,R.N.Cooper
cpl andheri,cpl andheri
d silva,Disilva Hall Dadar
d y patil hospital,
da silva,Disilva Hall Dadar
dama to marol,
"dchc, mmrda, bkc",BKC MMRDA Field Hospital
deep hotel isolation centre at 7:12 pm,
deepavan khar,Deepavan Khar
dhuru hall,dhuru hall
"diagnostic center, punjab lane, borivali (w)",Diagnostic Centre RC
"diagnostic center,punjab lane, bo (w)",Diagnostic Centre RC
diagnostic centre rc,Diagnostic Centre RC
diamond jubilee high school,Diamond Jubilee School (PAKH)
diamond jubilee school (pakh),Diamond Jubilee School (PAKH)
disha hospital,
disilva hall dadar,Disilva Hall Dadar
dr.antonio da silva hall,Disilva Hall Dadar
dsilva centre,Disilva Hall Dadar
e.n.t hospital,ENT Hospital
ec 5 antop hill,
ecotel hotel goregaon,
ent hoispital,ENT Hospital
ent hospial,ENT Hospital
ent hospital,ENT Hospital
ent hospital a ward,ENT Hospital
"ent hospital, azad maidan",ENT Hospital
esi kandivali,ESIS Kandivali
esic,
esic hospital akurli road kandiwali east,ESIS Kandivali
"esis hosp, kandivali (w)",ESIS Kandivali
esis kandivali,ESIS Kandivali
eye hospital,Eye Hospital
family care,
"family care hospital, mira road",
fortis,
fortis hospital,Fortis Mulund
fortis mulund,Fortis Mulund
galaxy hospital,Galaxy Hospital
gandhi hospital,
gandhi nagar health post,
gaurabai ( ozone) hospital,Gaurabai ( Ozone) Hospital
general ward,
genesis,"Genesis Hotel, Vile Parle (E)"
genesis hotel,"Genesis Hotel, Vile Parle (E)"
"genesis hotel, vile parle (e)","Genesis Hotel, Vile Parle (E)"
genisis hotel,"Genesis Hotel, Vile Parle (E)"
ginger hotel thane,
"ginger hotel, midc andheri.",
global,
global hospital,Global Hospital
gnh icu,
godrej bldg no-2,
gokuldas tejpal hospital,
goregoan moh,
"goshar building quarantine center,wadala, f/north ward.",
grant medical gymkhana,Grant Medical Gymkhana
gt hospital,GT Hospital
gujrati bhavan,
guru nanak hospital,Gurunanak Hospital
guru nanak hospital bandra,Gurunanak Hospital
"guru nanak hospital, bandra east",Gurunanak Hospital
gurunanak hospital,Gurunanak Hospital
