Value,Canonical
nasal o2,Nasal O2
02 by nasal 2lit/min,Nasal O2
02 by nasal 4lit/min,Nasal O2
3 ltr 30 minutes,
bipap,
face mask,Facemask O2
facemask o2,Facemask O2
hfnc,HFNC
i,
ii,
n,None
n/a,None
na,None
nasal 02,Nasal O2
nasal 02 & niv,
nasal cannula,
nasal canula,
niv,NIV
no,None
not applicable,None
nrbm,NRBM
o 2continues,
o2 by nasal cannula 4lit,
o2 continues,
o2 continuous,
o2@4 lit/min started,
o2by mask 4lit/min,
on continuous o2,
spo2 91,
ventilator,Ventilator
y,
yes,
