Value,Canonical
admitrdd,Admitted
admitted,Admitted
admitted & discharged on the same date,Discharge
admitted and transfered,Transfer
dama,DAMA
death,Death
dicharge,Discharge
dicharged,Discharge
dioscharge,Discharge
discahrge,Discharge
discarge,Discharge
dischage,Discharge
dischagre,Discharge
dischared,Discharge
discharg,Discharge
discharge,Discharge
discharged,Discharge
discharged (dama),DAMA
discharged(dama),DAMA
dischcharge,Discharge
dischrare,Discharge
disharged,Discharge
dishcharged,Discharge
dscharge,Discharge
home isolation,Transfer
home quarantine,Transfer
lama,LAMA
pt transfer,Transfer
readmitted,Admitted
shift,Transfer
shifted,Transfer
tranfer,Transfer
transfar,Transfer
transfer,Transfer
transfere,Transfer
transfered,Transfer
transfereed,Transfer
transferre,Transfer
transferred,Transfer
transfet,Transfer
transffer,Transfer
transfr,Transfer
transfrred,Transfer
trasfer,Transfer
trasferred,Transfer
"trasferred 
",Transfer
trnasfer,Transfer
voluntary transferred,Transfer
